cognateset_ids,n_cognatesets,root_forms,root_languages
183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,33,"*kʷo- | *(H)an- | *só-, *tó- | nan | nan | nan | *(h)ei- | *i̯o- | nan | *h₂ol-no- | *h₁en-, *h₁on- | nan | nan | nan | nan | nan | nan | *h₁eno- | nan | nan | nan | *-ei̯es | *só- ~ *tó- | *u | *Heu̯- (*(h₁)au̯-?) | *(H)oi̯nó- | *h₁al- ~ *h₁an- | *(h₁)e-séh₂ =u | *(h₁)í-/(h₁)éi ~ *(h₁)e-/*(h₁)ó-",nan | nan | Proto-Indo-European | nan | nan | nan | nan | Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European | nan | nan | nan | nan | nan | nan | Proto-Indo-European | nan | nan | nan | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
40 | 342 | 1662 | 1806 | 1955 | 1993 | 3436 | 3661 | 5142 | 5156 | 6778 | 7464 | 7547 | 9440,14,nan | *h₂u̯eh₁- | *h₂u̯eh₁- | nan | *u̯eg̑ʰ- | *u̯eg̑ʰ- | *h₂u̯eh₁- | *u̯eg̑ʰ- | *u̯eg̑ʰ- | ?*h₂u̯eh₁- | *u̯eg̑ʰ- | *u̯eg̑ʰ- | *u̯eg̑ʰ- | *weϸra- ~ *wedra-,nan | Proto-Indo-European | Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Germanic
216 | 790 | 837 | 1486 | 1525 | 1567 | 1706 | 4064 | 5968 | 6196 | 7561 | 7563 | 8378 | 8796,14,*pet- | pattrala- | *pet- | *pet- | *pet- | nan | *pet- | *pet- | *pet- | *pet- | *pet- | *pet- | *pet-,Proto-Indo-European | Sanskrit | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
123 | 989 | 1115 | 2463 | 2464 | 2567 | 3113 | 3738 | 5284 | 8821 | 9032 | 9218 | 9538,13,*dʰu̯eh₂- | nan | *dʰu̯es- | *dʰu̯ens- | *dʰmeH- | *dʰmeH- | *dʰmeH- | nan | *dʰmeH- | *dʰmeH- | *dʰmeH-,Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
667 | 1580 | 1712 | 1923 | 2804 | 2929 | 4527 | 5264 | 5892 | 6681 | 6801 | 8055 | 8103,13,*pleth₂- | *pleth₂- | *pleh₂- | *pleh₂- | *pleh₂- | nan | *pleh₂- | *pleh₂- | *pleh₂- | *pleth₂- | *pleh₂- | *pleh₂- | *pleh₂-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
309 | 806 | 1158 | 1803 | 2359 | 3539 | 6568 | 6648 | 7106 | 7136 | 8343 | 8692 | 8753,13,*steh₂- | *steh₂- | *steh₂- | *steh₂- | *steh₂- | *steh₂- | *steh₂- | *steh₂- | *steh₂- | *steh₂- | *steh₂- | *steh₂- | *steh₂-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
405 | 1010 | 5118 | 5125 | 6060 | 6268 | 6299 | 7330 | 9507 | 9832 | 9852,11,*deh₃- | *-dī- | *dʰeh₁- | *dʰeh₁- | *deh₃- | *deh₃- | *deh₃- | *dʰeh₁- | *dʰeh₁- | Proto-Indo-European | *dʰeh₁- ,Proto-Indo-European | Proto-Insular-Celtc | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | *dʰeh₁- | Proto-Indo-European
1709 | 1730 | 2404 | 3612 | 4519 | 5036 | 7246 | 7361 | 7643 | 8599 | 9916,11,*bʰer- | *bʰer- | *bʰer- | *bʰer- | *bʰer- | *bʰer- | *bʰer- | *bʰer- | *bʰer- | nan | *bʰer-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | nan | Proto-Indo-European
186 | 224 | 343 | 999 | 1902 | 2263 | 5414 | 6077 | 8317,9,?*pleu̯k- | ?*pleu̯k- | ?*pleu̯k- | *pleu̯- | ?*pleu̯k- | ?*pleu̯k- | ?*pleu̯k- | nan | ?*pleu̯k-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | nan | Proto-Indo-European
160 | 242 | 339 | 1107 | 2557 | 2748 | 2937 | 2948 | 7520,9,"*kʷí- ~ *kʷei-, *kʷe-, *kʷó- | *kʷó- | *kʷo- | nan | nan | *kʷi- | *kʷí- ~ *kʷei-, *kʷe-, *kʷó-",Proto-Indo-European | Proto-Indo-European | nan | nan | nan | nan | Proto-Indo-European
