etymon,root_language,german_meaning (LIV),cognate_sets,reflexes,meanings of reflexes,number of distinct meanings
*kʷo-,,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*(H)an-,,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
"*só-, *tó-",Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*(h)ei-,,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*i̯o-,Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*h₂ol-no-,Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
"*h₁en-, *h₁on-",Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*h₁eno-,Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*-ei̯es,Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*só- ~ *tó-,Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*u,Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*Heu̯- (*(h₁)au̯-?),Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*(H)oi̯nó-,Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*h₁al- ~ *h₁an-,Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*(h₁)e-séh₂ =u,Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
*(h₁)í-/(h₁)éi ~ *(h₁)e-/*(h₁)ó-,Proto-Indo-European,,183 | 269 | 318 | 448 | 889 | 943 | 1103 | 1230 | 1665 | 1666 | 2437 | 2438 | 2439 | 2442 | 2678 | 2679 | 2680 | 2681 | 2683 | 2685 | 2693 | 2745 | 2746 | 2747 | 3005 | 3006 | 3011 | 3018 | 3019 | 5796 | 7471 | 7486 | 7497,,,0
